#,Date,Model,Batch,Score,Density,Expansion,AC_phr,DCP_phr,AC_DCP_Ratio,CI,CI_Min,CI_Max,CI_OK,CrosslinkEff,FR_phr,Filler_phr,Warning_Count,Warnings,Suggestions
1,2026-02-26,"460","米白G1U",84,0.0357,29.69,20.63,1.328,15.5,1.303,0.692,1.277,WARN,1.001,0.00,11.93,2,"[Warning] 交聯指數Too High(1.303 > 1.277)，可能導致泡棉硬脆; [Warning] 交聯指數Too High(1.303 > 1.277)，可能導致泡棉硬脆","AC/DCP比值15.5在OptimalRange(12-20@30X); Inorganic Filler11.9 phr 在OptimalRange(5-20 phr); Recommended減少DCP約 10g"
2,2026-02-26,"460","黃602U",100,0.0360,29.14,20.24,1.367,14.8,1.184,0.692,1.277,OK,1.003,0.00,9.67,0,"","AC/DCP比值14.8在OptimalRange(12-20@29X); Inorganic Filler9.7 phr 在OptimalRange(5-20 phr); 交聯指數1.184合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
3,2026-02-26,"460","蘋果綠333U",100,0.0334,31.71,22.18,1.304,17.0,1.117,0.692,1.277,OK,1.003,0.00,9.78,0,"","AC/DCP比值17.0在OptimalRange(14-22@32X); Inorganic Filler9.8 phr 在OptimalRange(5-20 phr); 交聯指數1.117合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
4,2026-02-26,"460","深水藍628U",100,0.0354,29.72,20.73,1.374,15.1,1.198,0.692,1.277,OK,1.002,0.00,9.72,0,"","AC/DCP比值15.1在OptimalRange(12-20@30X); Inorganic Filler9.7 phr 在OptimalRange(5-20 phr); 交聯指數1.198合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
5,2026-02-26,"460","藍307U",100,0.0360,29.56,20.23,1.290,15.7,0.930,0.673,1.244,OK,1.005,0.00,9.48,0,"","AC/DCP比值15.7在OptimalRange(12-20@30X); Inorganic Filler9.5 phr 在OptimalRange(5-20 phr); 混練階段AC損失5.2%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
6,2026-02-26,"460","深藍2925U",100,0.0352,29.90,20.75,1.336,15.5,1.168,0.692,1.277,OK,1.003,0.00,9.73,0,"","AC/DCP比值15.5在OptimalRange(12-20@30X); Inorganic Filler9.7 phr 在OptimalRange(5-20 phr); 交聯指數1.168合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
7,2026-02-26,"460","粉紅236U",100,0.0355,29.67,20.57,1.337,15.4,1.163,0.692,1.277,OK,1.003,0.00,9.64,0,"","AC/DCP比值15.4在OptimalRange(12-20@30X); Inorganic Filler9.6 phr 在OptimalRange(5-20 phr); 交聯指數1.163合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
8,2026-02-26,"460","紅232U",100,0.0373,28.55,19.77,1.276,15.5,0.949,0.672,1.241,OK,1.005,0.00,9.39,0,"","AC/DCP比值15.5在OptimalRange(12-20@29X); Inorganic Filler9.4 phr 在OptimalRange(5-20 phr); 交聯指數0.949，處於OptimalRange(0.843~1.070)"
9,2026-02-26,"460","金黃1225U",100,0.0365,28.71,19.90,1.319,15.1,1.123,0.692,1.277,OK,1.003,0.00,9.33,0,"","AC/DCP比值15.1在OptimalRange(12-20@29X); Inorganic Filler9.3 phr 在OptimalRange(5-20 phr); 交聯指數1.123合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
10,2026-02-26,"460","灰10U",100,0.0353,29.78,20.81,1.285,16.2,1.157,0.692,1.277,OK,1.003,0.00,9.63,0,"","AC/DCP比值16.2在OptimalRange(12-20@30X); Inorganic Filler9.6 phr 在OptimalRange(5-20 phr); 交聯指數1.157合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
11,2026-02-26,"460","特黑06C",100,0.0348,30.74,21.25,1.193,17.8,0.892,0.674,1.245,OK,1.005,0.00,9.84,0,"","AC/DCP比值17.8在OptimalRange(14-22@31X); Inorganic Filler9.8 phr 在OptimalRange(5-20 phr); 交聯指數0.892，處於OptimalRange(0.846~1.074)"
12,2026-02-26,"2500AHH","黃602U",100,0.0406,25.52,17.23,1.255,13.7,1.179,0.692,1.277,OK,1.001,0.00,9.23,0,"","AC/DCP比值13.7在OptimalRange(12-20@26X); Inorganic Filler9.2 phr 在OptimalRange(5-20 phr); 交聯指數1.179合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
13,2026-02-26,"2500AHH","蘋果綠333U",100,0.0419,24.75,16.57,1.207,13.7,1.013,0.692,1.277,OK,1.001,0.00,8.88,0,"","AC/DCP比值13.7在OptimalRange(10-18@25X); Inorganic Filler8.9 phr 在OptimalRange(5-20 phr); 交聯指數1.013，處於OptimalRange(0.867~1.101)"
14,2026-02-26,"2500AHH","深藍2925U",100,0.0416,24.92,16.75,1.220,13.7,1.035,0.692,1.277,OK,1.001,0.00,8.97,0,"","AC/DCP比值13.7在OptimalRange(10-18@25X); Inorganic Filler9.0 phr 在OptimalRange(5-20 phr); 交聯指數1.035，處於OptimalRange(0.867~1.101)"
15,2026-02-26,"2500AHH","深藍297U",100,0.0425,24.38,16.19,1.261,12.8,1.035,0.689,1.272,OK,1.002,0.00,8.68,0,"","AC/DCP比值12.8在OptimalRange(10-18@24X); Inorganic Filler8.7 phr 在OptimalRange(5-20 phr); 交聯指數1.035，處於OptimalRange(0.864~1.097)"
16,2026-02-26,"2500AHH","藍280U",100,0.0416,25.46,16.97,1.357,12.5,0.980,0.663,1.225,OK,1.005,0.00,8.95,0,"","AC/DCP比值12.5在OptimalRange(12-20@25X); Inorganic Filler9.0 phr 在OptimalRange(5-20 phr); 混練階段AC損失6.4%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
