Date,Model,Batch,Mode,EVA16(kg),EVA25(kg),LDPE24(kg),LDPE40(kg),POE(kg),AC_PE_MB(kg),AC_EVA_MB(kg),DCP(kg),ZnO(kg),Urea(kg),BHT(kg),Filler_MB(kg),Color_MB(kg),ATH(kg),BrSb_MB(kg),CP70(kg),Powder(kg),PEG4000(kg),HALS(kg),EVA16_VA%,EVA25_VA%,Weighted_VA%,Effective_VA%,Temp1(°C),Time1(min),Temp2(°C),Time2(min),MixTime(min),RotorSpeed(rpm),AC(phr),DCP(phr),BHT(phr),ZnO(phr),Urea(phr),BaseDCPNeed(phr),EffectiveDCP(phr),DCP_SupplyRatio%,CrosslinkIndex,CrosslinkEff,CI_Min,CI_Max,CI_OptimalLow,CI_OptimalHigh,TheoDensity,PredDensity,PredExpansion,Quality_Score,Warning_Count,Warnings
"2026-02-26","460","米白G1U","production","","","24.4","5","","16","","0.515","0.185","0.045","0.04","5.5","","","","","0.5","0.16","","16","25","16.00","","150.7","26","164","25","18","55","20.63","1.328","0.103","0.477","0.116","0.817","0.817","143.3","1.303","1.001","0.692","1.277","0.867","1.101","1.0590","0.0357","29.69","84","2","[Warning] 交聯指數Too High(1.303 > 1.277)，可能導致泡棉硬脆; [Warning] 交聯指數Too High(1.303 > 1.277)，可能導致泡棉硬脆"
"2026-02-26","460","黃602U","production","2","","22.2","5","","15.7","","0.53","0.175","0.025","0.05","5","0.64","","","","","0.16","","16","25","16.00","","148.2","26","164","25","18","55","20.24","1.367","0.129","0.451","0.064","0.848","0.848","138.0","1.184","1.003","0.692","1.277","0.867","1.101","1.0498","0.0360","29.14","100","0",""
"2026-02-26","460","蘋果綠333U","production","2","","20.5","5","","17","","0.5","0.165","0.037","0.05","5","1.44","","","","","0.16","","16","25","16.00","","148","26","164","25","18","55","22.18","1.304","0.130","0.430","0.097","0.845","0.845","130.9","1.117","1.003","0.692","1.277","0.867","1.101","1.0587","0.0334","31.71","100","0",""
"2026-02-26","460","深水藍628U","production","2","","22","5","","16","","0.53","0.165","0.025","0.05","5","0.45","","","","","0.16","","16","25","16.00","","148.2","26","164","25","18","55","20.73","1.374","0.130","0.428","0.065","0.842","0.842","139.7","1.198","1.002","0.692","1.277","0.867","1.101","1.0509","0.0354","29.72","100","0",""
"2026-02-26","460","藍307U","production","2","","19","5","","16","","0.51","0.16","0.06","0.05","5","5.73","","","","","0.16","","16","25","16.00","","148","26","164","25","18","55","20.23","1.290","0.126","0.405","0.152","1.009","1.009","108.7","0.930","1.005","0.673","1.244","0.844","1.073","1.0650","0.0360","29.56","100","0",""
"2026-02-26","460","深藍2925U","production","2","","21.4","5","","16","","0.515","0.195","0.03","0.05","5","1.2","","","","","0.16","","16","25","16.00","","149.7","26","164","25","18","55","20.75","1.336","0.130","0.506","0.078","0.867","0.867","131.4","1.168","1.003","0.692","1.277","0.867","1.101","1.0535","0.0352","29.90","100","0",""
"2026-02-26","460","粉紅236U","production","2","","21.6","5","","16","","0.52","0.195","0.03","0.05","5","1.4","","","","","0.16","","16","25","16.00","","149.7","26","164","25","18","55","20.57","1.337","0.129","0.501","0.077","0.873","0.873","130.8","1.163","1.003","0.692","1.277","0.867","1.101","1.0531","0.0355","29.67","100","0",""
"2026-02-26","460","紅232U","production","2","","19.2","5","","15.8","","0.51","0.155","0.025","0.04","5","6.14","","","","","0.15","","16","25","16.00","0.00","148","26","164","25","18","55","19.20","1.239","0.097","0.377","0.061","0.871","0.871","121.9","1.207","1.006","0.894","1.490","1.073","1.312","1.0476","0.0378","27.70","100","0",""
"2026-02-26","460","金黃1225U","production","2","","22.9","5","","16","","0.53","0.165","0.025","0.05","5","1.39","","","","","0.16","","16","25","16.00","","148.5","26","164","25","18","55","19.90","1.319","0.124","0.411","0.062","0.870","0.870","129.8","1.123","1.003","0.692","1.277","0.867","1.101","1.0494","0.0365","28.71","100","0",""
"2026-02-26","460","灰10U","production","2","","21.9","5","","16.2","","0.5","0.145","0.025","0.04","5","0.9","","","","","0.16","","16","25","16.00","","149","26","164","25","18","55","20.81","1.285","0.103","0.373","0.064","0.856","0.856","131.7","1.157","1.003","0.692","1.277","0.867","1.101","1.0522","0.0353","29.78","100","0",""
"2026-02-26","460","特黑06C","production","2","","17.8","5","","16.2","","0.455","0.185","0.05","0.04","5","5.3","","","","","0.16","","16","25","16.00","","147","26","164","25","18","55","21.25","1.193","0.105","0.485","0.131","0.968","0.968","106.7","0.892","1.005","0.674","1.245","0.846","1.074","1.0689","0.0348","30.74","100","0",""
"2026-02-26","2500AHH","黃602U","production","","","22","10","","14","","0.51","0.15","0.03","0.05","5","0.5","","","","","0.16","","16","25","16.00","","150","30","164","25","18","55","17.23","1.255","0.123","0.369","0.074","0.832","0.832","128.4","1.179","1.001","0.692","1.277","0.867","1.101","1.0374","0.0406","25.52","100","0",""
"2026-02-26","2500AHH","蘋果綠333U","production","","","23","10","","14","","0.51","0.15","0.035","0.05","5","1.33","","","","","0.16","","16","25","16.00","","149.5","30","164","25","18","55","16.57","1.207","0.118","0.355","0.083","0.924","0.924","111.2","1.013","1.001","0.692","1.277","0.867","1.101","1.0360","0.0419","24.75","100","0",""
"2026-02-26","2500AHH","深藍2925U","production","","","22.8","10","","14","","0.51","0.15","0.03","0.05","5","1","","","","","0.16","","16","25","16.00","","149.5","30","164","25","18","55","16.75","1.220","0.120","0.359","0.072","0.913","0.913","113.7","1.035","1.001","0.692","1.277","0.867","1.101","1.0361","0.0416","24.92","100","0",""
"2026-02-26","2500AHH","深藍297U","production","","","18","15.2","","14","","0.545","0.155","0.045","0.05","5","2.37","","","","","0.16","","16","25","16.00","","149.5","30","164","25","18","55","16.19","1.261","0.116","0.359","0.104","0.955","0.955","113.6","1.035","1.002","0.689","1.272","0.864","1.097","1.0369","0.0425","24.38","100","0",""
"2026-02-26","2500AHH","藍280U","production","","","17.4","10.3","","14.5","","0.58","0.155","0.06","0.055","5.1","8.68","","","","","0.16","","16","25","16.00","","149","30","164","25","18","55","16.97","1.357","0.129","0.363","0.140","1.071","1.071","108.4","0.980","1.005","0.663","1.225","0.832","1.056","1.0597","0.0416","25.46","100","0",""
