Date,Model,Batch,Mode,EVA16(kg),EVA25(kg),LDPE24(kg),LDPE40(kg),POE(kg),AC_PE_MB(kg),AC_EVA_MB(kg),DCP(kg),ZnO(kg),Urea(kg),BHT(kg),Filler_MB(kg),Color_MB(kg),Color1_Type,Color1_kg,Color2_Type,Color2_kg,Color3_Type,Color3_kg,ATH(kg),BrSb_MB(kg),CP70(kg),Powder(kg),PEG4000(kg),HALS(kg),EVA16_VA%,EVA25_VA%,Weighted_VA%,Effective_VA%,Temp1(°C),Time1(min),Temp2(°C),Time2(min),MixTime(min),RotorSpeed(rpm),AC(phr),DCP(phr),BHT(phr),ZnO(phr),Urea(phr),BaseDCPNeed(phr),EffectiveDCP(phr),DCP_SupplyRatio%,CrosslinkIndex,CrosslinkEff,CI_Min,CI_Max,CI_OptimalLow,CI_OptimalHigh,TheoDensity,PredDensity,PredExpansion,Quality_Score,Warning_Count,DosageTemp,DischargeTemp,ResinType,QI_Percent,e1_FT,e2_FTi,e3_TTi,e4_FR,e5_TR,e6_TiR,FaceA_CV,FaceB_CV,FaceC_CV,FaceD_CV,Mahalanobis_Dist,Confidence_Zone,Warnings
"2026-03-17","2200C","紅186C","production","","","32","","","16","","0.565","0.17","0.03","0.06","5","9.44","EVA-1503","5.3","EVA-1509ABH","3.8","EVA-3508","0.34","","","","","0.35","","16","25","16.00","","150.5","26","164.3","25","19","55","16.42","1.160","0.123","0.349","0.062","1.007","1.007","94.9","0.872","1.005","0.670","1.238","0.841","1.068","1.0468","0.0429","24.40","96","1","100","134","ldpe_only","28","0.999","0.114","0.780","0.968","0.537","1.000","","","","","3.73","yellow","[Mild] AC/DCP比稍偏低(14.2)，最適Range 14.7~21.5@25X"
"2026-03-17","600NN+600NN","黑","production","29.2","","31.4","","","42","","0.95","0.23","0.03","0.1","11","1.8","EVA-8503","1.8","Generic","0.123","","","","5.6","","","0.4","","16","25","16.00","","149.7","27","164.3","25","20","55","23.76","1.075","0.113","0.260","0.034","0.898","0.898","118.4","1.051","1.001","0.784","1.348","0.953","1.178","1.0813","0.0480","21.47","100","2","90","121","eva_ldpe","79","0.975","0.956","0.775","0.785","0.984","1.000","","","","","2.09","green","[Warning] AC/DCP比偏低(11.1)，22X最適值16.0(-1.7σ); [Info] Discharge Temperature(127°C)接近AC有效分解溫度(117°C)，少量AC可能提前分解(~11.1%)"
"2026-03-18","1900C","藍312U","production","5","","37.5","","","17","","0.53","0.18","0.08","0.03","6","3.7","EVA-51054","2.2","EVA-4506","1.5","Generic","0.07","","","","","0.15","","16","25","16.00","","151","30","164.3","28","19","55","15.36","0.958","0.054","0.325","0.145","0.930","0.930","93.1","0.909","1.004","0.688","1.270","0.862","1.095","1.0337","0.0440","23.48","97","1","100","128","eva_ldpe","73","0.850","0.895","0.669","0.976","0.806","1.000","","","","","1.53","green","[Info] Discharge Temperature(128°C)接近AC有效分解溫度(118°C)，少量AC可能提前分解(~11.3%)"
"2026-03-17","1900C","紅186C","production","","","39.3","","","16","","0.64","0.18","0.085","0.06","6","9.445","EVA-1503","5.3","EVA-1509ABH","3.8","EVA-3508","0.345","","","","","0.3","","16","25","16.00","","153.5","30","164.3","28","19","55","14.21","1.137","0.107","0.320","0.151","0.910","0.910","97.4","0.879","1.011","0.627","1.005","0.740","0.891","1.0388","0.0363","29.52","92","0","100","132","ldpe_only","84","0.983","0.949","0.763","1.000","0.935","1.000","","","","","0.86","green",""
"2026-03-17","1900C","桔1585C","production","","","37.2","","","16","","0.59","0.17","0.085","0.04","6","11.5","EVA-3508","8.4","EVA-1502","3.1","Generic","0.072","","","","","0.3","","16","25","16.00","","151.5","30","164.3","28","19","55","14.34","1.058","0.072","0.305","0.152","1.288","1.288","105.5","0.774","0.996","0.439","0.790","0.544","0.685","1.0441","0.0483","21.81","93","2","100","128","ldpe_only","31","0.999","0.214","0.594","1.000","0.869","0.490","","","","","4.52","red","[Mild] AC/DCP比稍偏低(9.7)，最適Range 11.6~18.7@21X; [Info] Discharge Temperature(125°C)接近AC有效分解溫度(116°C)，少量AC可能提前分解(~10.4%)"
"2026-03-16","RE-139","深黑","production","27.2","","","","4","","11.2","0.58","0.13","0.055","0.02","5","4.1","EVA-7505","4.1","Generic","0.052","","","","","","","0.2","","16","25","16.00","","143.8","27","164.3","25","19","55","13.89","1.439","0.050","0.322","0.136","0.908","0.908","105.2","1.026","1.001","0.783","1.346","0.951","1.177","1.0543","0.0460","22.60","93","1","75","125","poe_blend","79","0.786","0.881","0.794","0.976","0.879","1.000","","","","","1.92","green","[Info] Discharge Temperature(125°C)接近AC有效分解溫度(118°C)，少量AC可能提前分解(~8.2%)"
"2026-03-16","2200C","綠355C","production","","","33.3","","","16.7","","0.53","0.18","0.045","0.06","5","7.74","EVA-4506","6","EVA-3508","1.74","Generic","0.064","","","","","0.2","","16","25","16.00","","152","26","164.3","25","19","55","17.02","1.080","0.122","0.367","0.092","0.919","0.919","96.4","0.886","1.020","0.636","1.020","0.751","0.905","1.0440","0.0358","29.86","97","0","100","134","ldpe_only","84","0.976","0.949","0.772","1.000","0.907","1.000","","","","","0.84","green",""
"2026-03-16","2200C","桔123C","production","","","34.8","","","16","","0.59","0.17","0.04","0.06","5","5.25","EVA-3508","4.9","EVA-1376","0.35","Generic","0.062","","","","","0.3","","16","25","16.00","","153","26","164.3","25","19","55","16.58","1.223","0.124","0.352","0.083","0.910","0.910","97.4","0.893","1.011","0.630","1.010","0.744","0.896","1.0381","0.0361","29.63","93","0","100","134","ldpe_only","84","0.976","0.949","0.772","1.000","0.935","1.000","","","","","0.85","green",""
"2026-03-16","2200C","紅186C","production","","","32","","","16","","0.565","0.17","0.03","0.06","5","9.44","EVA-1503","5.3","EVA-1509ABH","3.8","EVA-3508","0.34","","","","","0.35","","16","25","16.00","","152.3","26","164.3","25","19","55","16.42","1.160","0.123","0.349","0.062","0.910","0.910","97.4","0.889","1.011","0.629","1.008","0.742","0.894","1.0468","0.0362","29.59","96","0","100","134","ldpe_only","84","1.000","0.949","0.769","1.000","0.935","1.000","","","","","0.93","green",""
"2026-03-16","600NN+600NN","黑","production","29.2","","31.4","","","42","","0.95","0.23","0.03","0.1","11","1.8","EVA-8503","1.8","Generic","0.123","","","","5.6","","","0.4","","16","25","16.00","","149.5","26","164.3","25","20","55","23.76","1.075","0.113","0.260","0.034","1.005","1.005","107.3","0.901","1.002","0.750","1.290","0.912","1.128","1.0813","0.0425","24.88","100","2","90","121","eva_ldpe","30","0.728","0.100","0.738","0.810","0.912","0.956","","","","","3.27","yellow","[Mild] AC/DCP比稍偏低(13.1)，最適Range 14.8~21.6@25X; [Info] Discharge Temperature(127°C)接近AC有效分解溫度(119°C)，少量AC可能提前分解(~9.7%)"
"2026-03-16","600NN+282NN","黑","production","29.2","","31.4","","","42","","0.95","0.23","0.03","0.1","11","1.8","EVA-8503","1.8","Generic","0.123","","","","5.6","","","0.4","","16","25","16.00","","149.1","27","164.3","25","20","55","23.76","1.075","0.113","0.260","0.034","0.893","0.929","118.8","1.079","1.002","0.736","1.265","0.895","1.106","1.0813","0.0423","23.96","100","2","90","121","eva_ldpe","85","0.952","0.999","0.772","0.990","0.998","1.000","","","","","1.09","green","[Mild] AC/DCP比稍偏低(12.1)，最適Range 14.1~20.9@23X; [Warning] Discharge Temperature(132°C)超過AC有效分解溫度(110°C)22°C，AC提前分解風險高"
"2026-03-13","600NN+600NN","黑","production","31.8","","31.4","","","42","","0.95","0.23","0.03","0.1","11","1.8","EVA-8503","1.8","Generic","0.123","","","","","","","0.4","","16","25","16.00","","149.5","27","164.3","25","20","55","23.40","1.059","0.111","0.256","0.033","0.917","0.917","97.6","0.983","1.003","0.773","1.329","0.940","1.162","1.0700","0.0438","23.68","100","1","90","121","eva_ldpe","75","0.817","0.903","0.677","0.994","0.934","1.000","","","","","1.61","green","[Warning] Discharge Temperature(132°C)超過AC有效分解溫度(115°C)17°C，AC提前分解風險高"
